year,region_name,allocation_amount,households_served,avg_benefit,funding_utilization,compliance_score
2020,Montgomery County,247195.09178774228,2954,83.68147995522759,0.8009017552397796,0.8972478021115959
2021,Montgomery County,226541.36545274165,2802,80.84988060411908,0.7824795725843612,0.9271019844885383
2022,Montgomery County,264515.1645211753,2967,89.15239788378003,0.8169683532468804,0.9165944708107523
2023,Montgomery County,249658.12472829607,3206,77.87215368942485,0.7842489230726349,0.916757806418788
2024,Montgomery County,268024.4833656008,3506,76.44737118243035,0.887536490830185,0.8975609599521325
2025,Montgomery County,264601.949180192,3369,78.54020456520986,0.9404230633552377,0.8246825245780013
2020,Morgan County,239820.339656844,3319,72.25680616355649,0.9210278727895316,0.8423958993272254
2021,Morgan County,239319.64631358944,3412,70.14057629354907,0.8354556685998064,0.9416829128121853
2022,Morgan County,212898.62323114692,3547,60.0221661209887,0.9029158473421277,0.8682925740699278
2023,Morgan County,251848.88361469825,3661,68.79237465574931,0.8585871867854268,0.8078727916947464
2024,Morgan County,252020.3618971759,4034,62.47406095616656,0.7912849578575507,0.8214167987775299
2025,Morgan County,272650.2984179143,4266,63.91240000419932,0.9124230040495447,0.9037363223478391
2020,Shelby County,116023.63180888219,1174,98.82762505015518,0.8343792527416839,0.8297886329396722
2021,Shelby County,113574.00120550916,1271,89.35798678639588,0.9164740558692908,0.8095593175502431
2022,Shelby County,121037.93337130385,1253,96.59851027238935,0.9189349050384031,0.8914021276968984
2023,Shelby County,132251.9294025626,1373,96.32332804265302,0.9656632402736607,0.9102139311093254
2024,Shelby County,126702.58980023694,1420,89.22717591565981,0.8017989713036731,0.8746984164332132
2025,Shelby County,135200.14918815802,1411,95.81867412342878,0.8379411459536558,0.8641959692036039
2020,Talladega County,180138.784456312,1317,136.77963891899165,0.7852157628964569,0.8337033743906284
2021,Talladega County,198847.71239231157,1430,139.05434433028782,0.8010002734043801,0.8967409985645082
2022,Talladega County,189430.02335522228,1412,134.15724033655968,0.8209040554761553,0.936194054404335
2023,Talladega County,194718.8878892619,1440,135.22144992309856,0.820337751288789,0.9372588300029733
2024,Talladega County,211674.09820810342,1563,135.42808586570916,0.9768914629012301,0.8044856701434018
2025,Talladega County,234783.61921765716,1683,139.50304172172142,0.916441316009242,0.9056730235137852
2020,Tuscaloosa County,213216.34775005718,3067,69.51951344964368,0.9193855911824924,0.8195031716341594
2021,Tuscaloosa County,234412.76751356406,3494,67.09008801189584,0.8329562395735093,0.9544500302930334
2022,Tuscaloosa County,230695.51984645444,3607,63.95772660007054,0.8452210686105947,0.8726701392222579
2023,Tuscaloosa County,246553.69876830594,3530,69.8452404442793,0.9675070918281293,0.8971219134474078
2024,Tuscaloosa County,230983.350770525,3694,62.52933155672036,0.945476978126846,0.9304196293863942
2025,Tuscaloosa County,249846.384093955,3990,62.61814137693108,0.875900439410972,0.9311701558696457
2020,Baldwin County,190350.2641234495,3107,61.26497075102977,0.8608495109782396,0.8813791724013806
2021,Baldwin County,176523.9683707173,3113,56.70541868638526,0.887430691783009,0.9007783688815323
2022,Baldwin County,204339.82533158633,3473,58.83669027687484,0.8792789893243536,0.9538485985962135
2023,Baldwin County,218790.8686840182,3177,68.86712895310615,0.8996604033056124,0.8826783766651961
2024,Baldwin County,201130.44896975043,3800,52.92906551835538,0.8474744115544433,0.8123527260063507
2025,Baldwin County,217388.98299781693,3791,57.34344051643812,0.8664187782244266,0.9698166640291004
2020,Etowah County,130604.1080391641,1620,80.6198197772618,0.8842933215442466,0.9189053419481026
2021,Etowah County,149589.54596594695,1737,86.11948529991189,0.8013392102321061,0.8736211505538317
2022,Etowah County,130707.42239236491,1818,71.896271942995,0.857256312768679,0.9249807953220306
2023,Etowah County,137341.14125940285,1893,72.55210843074636,0.8212166728367842,0.8978089803320342
2024,Etowah County,165925.31377940596,1987,83.50544226442172,0.8369874267404618,0.8957780426669811
2025,Etowah County,166138.3494499024,2232,74.43474437719641,0.949675243852629,0.8236787054600168
2020,Calhoun County,159975.1055953942,1948,82.12274414547957,0.8002576682994342,0.945478509590256
2021,Calhoun County,162536.64510801467,2035,79.87058727666569,0.819840952394387,0.8670051571494874
2022,Calhoun County,170044.36419457814,2058,82.62602730543155,0.8715861608353915,0.9635788468697201
2023,Calhoun County,180827.48369211867,2274,79.51956186988508,0.9786169389939627,0.8190973346645467
2024,Calhoun County,176701.14576875762,2246,78.67370693177098,0.8930769719488743,0.8969032015976641
2025,Calhoun County,182748.07932121522,2628,69.53884296849894,0.830398222560526,0.8805052479383457
